time,battery,totalGenerated,spareModules,totalDirt,totalModules
9421.81,998430671.548607,64630329.4318122,42.5599995452166,14000,42.5599995452166
9480.623,999018810.245382,65218470.1304835,42.5599995452166,14000,42.5599995452166
9540.229,999614866.552617,65814528.033058,42.5599995452166,14000,42.5599995452166
9600.447,1000000000,66199662.1117836,42.5599995452166,14000,42.5599995452166
9661.331,1000000000,66199664.8990231,42.5599995452166,14000,42.5599995452166
9721.649,1000000000,66199667.4621438,42.5599995452166,14000,42.5599995452166
9780.735,1000000000,66199669.6291114,42.5599995452166,14000,42.5599995452166
9840.78,999999999.692665,66199671.500607,42.5599995452166,14000,42.5599995452166
9901.86,1000000000,66199673.6377033,42.5599995452166,14000,42.5599995452166
9960.77,1000000000,66199675.2122635,42.5599995452166,14000,42.5599995452166
10020.7,1000000000,66199677.5453125,42.5599995452166,14000,42.5599995452166
10082.09,999999999.740287,66199679.2307845,42.5599995452166,14000,42.5599995452166
10140.87,999999999.860378,66199681.5420021,42.5599995452166,14000,42.5599995452166
10203.83,999476917.026961,66410437.3688878,42.9676861462368,14500,42.9676861462368
10261.12,998331063.296152,66983363.312024,43.9225627412523,15000,43.9225627412523
10320.89,997525729.411615,67581023.3254613,44.9186627877677,15000,44.9186627877677
10380.89,997308009.481201,68181036.7722691,45.599999512732,15000,45.599999512732
10442.52,996631898.421264,68797389.4138516,46.3180339644373,15500,46.3180339644373
10500.35,996150533.069601,69375639.7051991,47.1199994964898,15500,47.1199994964898
10560.76,996754641.765869,69979749.8948754,47.1199994964898,15500,47.1199994964898
10621.19,997358941.708641,70584052.2248925,47.1199994964898,15500,47.1199994964898
10680.08,997947789.507417,71172902.4906338,47.1199994964898,15500,47.1199994964898
10742.99,998576904.491258,71802019.9151219,47.1199994964898,15500,47.1199994964898
10800.07,999147710.325915,72372827.3363293,47.1199994964898,15500,47.1199994964898
10862.42,999771220.209332,72996338.9332474,47.1199994964898,15500,47.1199994964898
10921.34,1000000000,73225120.4085823,47.1199994964898,15500,47.1199994964898
